"Equipo de soporte","Pseudónimo de correo","Secuencia","Miembros del equipo","ID","ID externo","Etapas","Compañía","Activo","Alias"
"🪧 Odoo Support","odoo-support@mojito360.odoo.com","10","Soporte","8","__export__.helpdesk_team_8_0ca5ecd6","📧 Nuevo","Mojito360, S.L.","True","odoo-support@mojito360.odoo.com"
"","","","","","","🧍Asignado","","",""
"","","","","","","✍️ En Ejecución","","",""
"","","","","","","💾 Pdte. Desarrollo","","",""
"","","","","","","🧪 Pruebas (Valid. Intern)","","",""
"","","","","","","⌛ Pdte. Validación","","",""
"","","","","","","✔️ Completado","","",""
"","","","","","","⏸️ Pausado","","",""
"","","","","","","❌ Cancelado","","",""
"CEC Support","","10","Soporte","10","__export__.helpdesk_team_10_ddcb15ce","📧 Nuevo","Mojito360, S.L.","True","Alias inactivo"
"","","","","","","🧍Asignado","","",""
"","","","","","","💾 Pdte. Desarrollo","","",""
"","","","","","","💲 Pdte. Comercial","","",""
"odoo","odoo@mojito360.com","10","Soporte","11","__export__.helpdesk_team_11_46d861a0","📧 Nuevo","Mojito360, S.L.","True","odoo@mojito360.com"
"","","","","","","🧍Asignado","","",""
"","","","","","","💾 Pdte. Desarrollo","","",""
"","","","","","","💲 Pdte. Comercial","","",""
"🟢 L1 - Atención al cliente","support1@mojito360.odoo.com","11","Soporte","1","helpdesk.helpdesk_team1","📧 Nuevo","Mojito360, S.L.","True","support1@mojito360.odoo.com"
"","","","","","","🧍Asignado","","",""
"","","","","","","✍️ En Ejecución","","",""
"","","","","","","💾 Pdte. Desarrollo","","",""
"","","","","","","💲 Pdte. Comercial","","",""
"","","","","","","🧑 Pdte. Cliente","","",""
"","","","","","","🧪 Pruebas (Valid. Intern)","","",""
"","","","","","","⌛ Pdte. Validación","","",""
"","","","","","","✔️ Completado","","",""
"","","","","","","⏸️ Pausado","","",""
"","","","","","","❌ Cancelado","","",""
"🟡 L2 - Soporte dedicado","support2@mojito360.odoo.com","12","Soporte","2","__export__.helpdesk_team_2_9a6170d3","🧍Asignado","Mojito360, S.L.","True","support2@mojito360.odoo.com"
"","","","","","","✍️ En Ejecución","","",""
"","","","","","","💾 Pdte. Desarrollo","","",""
"","","","","","","🧪 Pruebas (Valid. Intern)","","",""
"🔵 L3 - Desarrollo","support3@mojito360.odoo.com","13","Soporte","4","__export__.helpdesk_team_4_21956297","🧍Asignado","Mojito360, S.L.","True","support3@mojito360.odoo.com"
"","","","","","","✍️ En Ejecución","","",""
"","","","","","","💾 Pdte. Desarrollo","","",""
"","","","","","","🧪 Pruebas (Valid. Intern)","","",""
"🔴 L4 - Soporte avanzado","support4@mojito360.odoo.com","14","Soporte","3","__export__.helpdesk_team_3_ae59c25c","🧍Asignado","Mojito360, S.L.","True","support4@mojito360.odoo.com"
"","","","","","","✍️ En Ejecución","","",""
"","","","","","","💾 Pdte. Desarrollo","","",""
"","","","","","","🧪 Pruebas (Valid. Intern)","","",""
"©️ L5 - Desarrollo y Soporte Crítico (DEVS)","support5@mojito360.odoo.com","15","Soporte","9","__export__.helpdesk_team_9_22c3adbc","🧍Asignado","Mojito360, S.L.","True","support5@mojito360.odoo.com"
"","","","","","","✍️ En Ejecución","","",""
"","","","","","","💾 Pdte. Desarrollo","","",""
"","","","","","","🧪 Pruebas (Valid. Intern)","","",""
"","","","","","","✔️ Completado","","",""
"","","","","","","⏸️ Pausado","","",""
"","","","","","","❌ Cancelado","","",""
