"Doblado en Kanban","Equipos de servicio de asistencia","Nombre","Secuencia","ID","ID externo","Nombre mostrado","Activo","Descripción"
"","CEC Support","📧 Nuevo","0","1","helpdesk.stage_new","📧 Nuevo","True",""
"","odoo","","","","","","",""
"","🪧 Odoo Support","","","","","","",""
"","🟢 L1 - Atención al cliente","","","","","","",""
"","CEC Support","🧍Asignado","1","2","helpdesk.stage_in_progress","🧍Asignado","True",""
"","odoo","","","","","","",""
"","🪧 Odoo Support","","","","","","",""
"","🟢 L1 - Atención al cliente","","","","","","",""
"","🟡 L2 - Soporte dedicado","","","","","","",""
"","🔵 L3 - Desarrollo","","","","","","",""
"","🔴 L4 - Soporte avanzado","","","","","","",""
"","©️ L5 - Desarrollo y Soporte Crítico (DEVS)","","","","","","",""
"","🪧 Odoo Support","✍️ En Ejecución","2","3","helpdesk.stage_on_hold","✍️ En Ejecución","True",""
"","🟢 L1 - Atención al cliente","","","","","","",""
"","🟡 L2 - Soporte dedicado","","","","","","",""
"","🔵 L3 - Desarrollo","","","","","","",""
"","🔴 L4 - Soporte avanzado","","","","","","",""
"","©️ L5 - Desarrollo y Soporte Crítico (DEVS)","","","","","","",""
"","CEC Support","💾 Pdte. Desarrollo","3","4","helpdesk.stage_solved","💾 Pdte. Desarrollo","True",""
"","odoo","","","","","","",""
"","🪧 Odoo Support","","","","","","",""
"","🟢 L1 - Atención al cliente","","","","","","",""
"","🟡 L2 - Soporte dedicado","","","","","","",""
"","🔵 L3 - Desarrollo","","","","","","",""
"","🔴 L4 - Soporte avanzado","","","","","","",""
"","©️ L5 - Desarrollo y Soporte Crítico (DEVS)","","","","","","",""
"","CEC Support","💲 Pdte. Comercial","4","5","helpdesk.stage_cancelled","💲 Pdte. Comercial","True",""
"","odoo","","","","","","",""
"","🟢 L1 - Atención al cliente","","","","","","",""
"","🟢 L1 - Atención al cliente","🧑 Pdte. Cliente","5","6","__export__.helpdesk_stage_6_73168df9","🧑 Pdte. Cliente","True",""
"","🪧 Odoo Support","🧪 Pruebas (Valid. Intern)","6","7","__export__.helpdesk_stage_7_b26ddff9","🧪 Pruebas (Valid. Intern)","True",""
"","🟢 L1 - Atención al cliente","","","","","","",""
"","🟡 L2 - Soporte dedicado","","","","","","",""
"","🔵 L3 - Desarrollo","","","","","","",""
"","🔴 L4 - Soporte avanzado","","","","","","",""
"","©️ L5 - Desarrollo y Soporte Crítico (DEVS)","","","","","","",""
"","🪧 Odoo Support","⌛ Pdte. Validación","7","8","__export__.helpdesk_stage_8_2bbd2baf","⌛ Pdte. Validación","True",""
"","🟢 L1 - Atención al cliente","","","","","","",""
"True","🪧 Odoo Support","✔️ Completado","8","11","__export__.helpdesk_stage_11_44fe5483","✔️ Completado","True",""
"","🟢 L1 - Atención al cliente","","","","","","",""
"","©️ L5 - Desarrollo y Soporte Crítico (DEVS)","","","","","","",""
"True","🪧 Odoo Support","⏸️ Pausado","9","9","__export__.helpdesk_stage_9_f6c9aa15","⏸️ Pausado","True",""
"","🟢 L1 - Atención al cliente","","","","","","",""
"","©️ L5 - Desarrollo y Soporte Crítico (DEVS)","","","","","","",""
"True","🪧 Odoo Support","❌ Cancelado","10","10","__export__.helpdesk_stage_10_63b56b8e","❌ Cancelado","True",""
"","🟢 L1 - Atención al cliente","","","","","","",""
"","©️ L5 - Desarrollo y Soporte Crítico (DEVS)","","","","","","",""
