"Dentro de","Equipo de soporte","Estado potencial","Nombre","Prioridad","Tipos","Clientes","Compañía","ID externo","ID","Nombre mostrado"
"8.0","🟢 L1 - Atención al cliente","✔️ Completado","Carga de ficheros","Prioridad baja","🔼 Carga","","Mojito360, S.L.","__export__.helpdesk_sla_1_295b6d8b","1","Carga de ficheros"
"16.0","🟢 L1 - Atención al cliente","✔️ Completado","Estándar","Prioridad baja","🔔 Alertas","","Mojito360, S.L.","__export__.helpdesk_sla_3_3d14f8b0","3","Estándar"
"","","","","","💽 Dato","","","","",""
"","","","","","📝 Documentos","","","","",""
"","","","","","📡 Integración","","","","",""
"","","","","","📈 Reportes","","","","",""
"","","","","","👤 Usuarios","","","","",""
"","","","","","✏️ Modificación","","","","",""
"","","","","","⏱️ Rendimiento","","","","",""
"","","","","","💕 Mapeos","","","","",""
"","","","","","💎 Gestión del soporte","","","","",""
"","","","","","❔Otros","","","","",""
"2.0","🟡 L2 - Soporte dedicado","✔️ Completado","Control de fechas","Prioridad baja","🔎 Control","","Mojito360, S.L.","__export__.helpdesk_sla_2_f846a29c","2","Control de fechas"
