"Nombre","Secuencia","ID","ID externo","Nombre mostrado"
"🔔 Alertas","10","7","__export__.helpdesk_ticket_type_7_4227bc7e","🔔 Alertas"
"Front - Web","10","15","__export__.helpdesk_ticket_type_15_da9b3eab","Front - Web"
"🔼 Carga","11","1","helpdesk.type_question","🔼 Carga"
"💽 Dato","12","13","__export__.helpdesk_ticket_type_13_93b12e6d","💽 Dato"
"📝 Documentos","13","5","__export__.helpdesk_ticket_type_5_b677b31d","📝 Documentos"
"📡 Integración","14","3","__export__.helpdesk_ticket_type_3_be317d59","📡 Integración"
"📈 Reportes","15","6","__export__.helpdesk_ticket_type_6_9f17abbe","📈 Reportes"
"👤 Usuarios","16","4","__export__.helpdesk_ticket_type_4_e13fc031","👤 Usuarios"
"✏️ Modificación","17","2","helpdesk.type_incident","✏️ Modificación"
"⏱️ Rendimiento","18","8","__export__.helpdesk_ticket_type_8_e6552f3b","⏱️ Rendimiento"
"💕 Mapeos","19","9","__export__.helpdesk_ticket_type_9_51befdf9","💕 Mapeos"
"💎 Gestión del soporte","20","10","__export__.helpdesk_ticket_type_10_1032613a","💎 Gestión del soporte"
"❔Otros","21","11","__export__.helpdesk_ticket_type_11_c3111df0","❔Otros"
"🔎 Control","22","12","__export__.helpdesk_ticket_type_12_e5f42afe","🔎 Control"
"No definido","23","14","__export__.helpdesk_ticket_type_14_13918648","No definido"
